S,DoF,Contents,Codecs,Bitrates,Scores
1,1,1,1,1,2
1,1,1,1,2,4
1,1,1,1,3,4
1,1,1,1,4,6
1,1,1,2,1,2
1,1,1,2,2,2
1,1,1,2,3,3
1,1,1,2,4,6
1,1,2,1,1,2
1,1,2,1,2,3
1,1,2,1,3,4
1,1,2,1,4,5
1,1,2,2,1,1
1,1,2,2,2,1
1,1,2,2,3,2
1,1,2,2,4,3
1,1,3,1,1,2
1,1,3,1,2,3
1,1,3,1,3,5
1,1,3,1,4,5
1,1,3,2,1,1
1,1,3,2,2,1
1,1,3,2,3,2
1,1,3,2,4,3
1,1,4,1,1,2
1,1,4,1,2,2
1,1,4,1,3,3
1,1,4,1,4,4
1,1,4,2,1,1
1,1,4,2,2,1
1,1,4,2,3,3
1,1,4,2,4,4
2,1,1,1,1,4
2,1,1,1,2,5
2,1,1,1,3,5
2,1,1,1,4,6
2,1,1,2,1,3
2,1,1,2,2,3
2,1,1,2,3,4
2,1,1,2,4,6
2,1,2,1,1,3
2,1,2,1,2,4
2,1,2,1,3,4
2,1,2,1,4,4
2,1,2,2,1,2
2,1,2,2,2,2
2,1,2,2,3,3
2,1,2,2,4,3
2,1,3,1,1,2
2,1,3,1,2,3
2,1,3,1,3,4
2,1,3,1,4,5
2,1,3,2,1,2
2,1,3,2,2,2
2,1,3,2,3,3
2,1,3,2,4,4
2,1,4,1,1,3
2,1,4,1,2,5
2,1,4,1,3,5
2,1,4,1,4,6
2,1,4,2,1,3
2,1,4,2,2,3
2,1,4,2,3,4
2,1,4,2,4,6
3,1,1,1,1,6
3,1,1,1,2,7
3,1,1,1,3,8
3,1,1,1,4,7
3,1,1,2,1,5
3,1,1,2,2,5
3,1,1,2,3,7
3,1,1,2,4,6
3,1,2,1,1,4
3,1,2,1,2,5
3,1,2,1,3,7
3,1,2,1,4,7
3,1,2,2,1,3
3,1,2,2,2,3
3,1,2,2,3,4
3,1,2,2,4,6
3,1,3,1,1,6
3,1,3,1,2,5
3,1,3,1,3,6
3,1,3,1,4,7
3,1,3,2,1,4
3,1,3,2,2,4
3,1,3,2,3,4
3,1,3,2,4,5
3,1,4,1,1,3
3,1,4,1,2,4
3,1,4,1,3,3
3,1,4,1,4,4
3,1,4,2,1,2
3,1,4,2,2,3
3,1,4,2,3,3
3,1,4,2,4,4
4,1,1,1,1,4
4,1,1,1,2,5
4,1,1,1,3,4
4,1,1,1,4,5
4,1,1,2,1,3
4,1,1,2,2,3
4,1,1,2,3,4
4,1,1,2,4,5
4,1,2,1,1,3
4,1,2,1,2,3
4,1,2,1,3,5
4,1,2,1,4,4
4,1,2,2,1,2
4,1,2,2,2,2
4,1,2,2,3,3
4,1,2,2,4,4
4,1,3,1,1,5
4,1,3,1,2,6
4,1,3,1,3,6
4,1,3,1,4,6
4,1,3,2,1,4
4,1,3,2,2,5
4,1,3,2,3,6
4,1,3,2,4,5
4,1,4,1,1,1
4,1,4,1,2,4
4,1,4,1,3,5
4,1,4,1,4,4
4,1,4,2,1,1
4,1,4,2,2,2
4,1,4,2,3,4
4,1,4,2,4,5
5,1,1,1,1,4
5,1,1,1,2,4
5,1,1,1,3,5
5,1,1,1,4,5
5,1,1,2,1,2
5,1,1,2,2,3
5,1,1,2,3,4
5,1,1,2,4,6
5,1,2,1,1,3
5,1,2,1,2,4
5,1,2,1,3,5
5,1,2,1,4,5
5,1,2,2,1,1
5,1,2,2,2,2
5,1,2,2,3,3
5,1,2,2,4,4
5,1,3,1,1,3
5,1,3,1,2,3
5,1,3,1,3,4
5,1,3,1,4,4
5,1,3,2,1,1
5,1,3,2,2,1
5,1,3,2,3,2
5,1,3,2,4,3
5,1,4,1,1,2
5,1,4,1,2,3
5,1,4,1,3,5
5,1,4,1,4,4
5,1,4,2,1,1
5,1,4,2,2,1
5,1,4,2,3,2
5,1,4,2,4,3
6,1,1,1,1,4
6,1,1,1,2,5
6,1,1,1,3,6
6,1,1,1,4,5
6,1,1,2,1,2
6,1,1,2,2,2
6,1,1,2,3,4
6,1,1,2,4,4
6,1,2,1,1,2
6,1,2,1,2,4
6,1,2,1,3,5
6,1,2,1,4,5
6,1,2,2,1,1
6,1,2,2,2,2
6,1,2,2,3,2
6,1,2,2,4,4
6,1,3,1,1,4
6,1,3,1,2,4
6,1,3,1,3,5
6,1,3,1,4,5
6,1,3,2,1,2
6,1,3,2,2,3
6,1,3,2,3,4
6,1,3,2,4,4
6,1,4,1,1,2
6,1,4,1,2,3
6,1,4,1,3,4
6,1,4,1,4,5
6,1,4,2,1,1
6,1,4,2,2,2
6,1,4,2,3,3
6,1,4,2,4,4
7,1,1,1,1,3
7,1,1,1,2,4
7,1,1,1,3,4
7,1,1,1,4,5
7,1,1,2,1,2
7,1,1,2,2,2
7,1,1,2,3,4
7,1,1,2,4,5
7,1,2,1,1,4
7,1,2,1,2,6
7,1,2,1,3,4
7,1,2,1,4,6
7,1,2,2,1,2
7,1,2,2,2,3
7,1,2,2,3,4
7,1,2,2,4,5
7,1,3,1,1,2
7,1,3,1,2,4
7,1,3,1,3,5
7,1,3,1,4,4
7,1,3,2,1,1
7,1,3,2,2,1
7,1,3,2,3,2
7,1,3,2,4,4
7,1,4,1,1,3
7,1,4,1,2,2
7,1,4,1,3,5
7,1,4,1,4,4
7,1,4,2,1,1
7,1,4,2,2,1
7,1,4,2,3,3
7,1,4,2,4,4
8,1,1,1,1,3
8,1,1,1,2,4
8,1,1,1,3,4
8,1,1,1,4,4
8,1,1,2,1,2
8,1,1,2,2,2
8,1,1,2,3,3
8,1,1,2,4,4
8,1,2,1,1,3
8,1,2,1,2,5
8,1,2,1,3,5
8,1,2,1,4,4
8,1,2,2,1,2
8,1,2,2,2,2
8,1,2,2,3,3
8,1,2,2,4,5
8,1,3,1,1,3
8,1,3,1,2,5
8,1,3,1,3,5
8,1,3,1,4,5
8,1,3,2,1,2
8,1,3,2,2,3
8,1,3,2,3,3
8,1,3,2,4,5
8,1,4,1,1,3
8,1,4,1,2,4
8,1,4,1,3,4
8,1,4,1,4,4
8,1,4,2,1,1
8,1,4,2,2,1
8,1,4,2,3,2
8,1,4,2,4,5
9,1,1,1,1,4
9,1,1,1,2,6
9,1,1,1,3,5
9,1,1,1,4,5
9,1,1,2,1,3
9,1,1,2,2,4
9,1,1,2,3,6
9,1,1,2,4,5
9,1,2,1,1,2
9,1,2,1,2,3
9,1,2,1,3,4
9,1,2,1,4,4
9,1,2,2,1,1
9,1,2,2,2,2
9,1,2,2,3,3
9,1,2,2,4,3
9,1,3,1,1,4
9,1,3,1,2,5
9,1,3,1,3,5
9,1,3,1,4,4
9,1,3,2,1,2
9,1,3,2,2,2
9,1,3,2,3,3
9,1,3,2,4,4
9,1,4,1,1,2
9,1,4,1,2,3
9,1,4,1,3,5
9,1,4,1,4,4
9,1,4,2,1,1
9,1,4,2,2,1
9,1,4,2,3,3
9,1,4,2,4,3
10,1,1,1,1,6
10,1,1,1,2,6
10,1,1,1,3,6
10,1,1,1,4,6
10,1,1,2,1,3
10,1,1,2,2,4
10,1,1,2,3,4
10,1,1,2,4,5
10,1,2,1,1,2
10,1,2,1,2,4
10,1,2,1,3,5
10,1,2,1,4,5
10,1,2,2,1,1
10,1,2,2,2,2
10,1,2,2,3,3
10,1,2,2,4,4
10,1,3,1,1,3
10,1,3,1,2,6
10,1,3,1,3,5
10,1,3,1,4,6
10,1,3,2,1,2
10,1,3,2,2,2
10,1,3,2,3,4
10,1,3,2,4,5
10,1,4,1,1,3
10,1,4,1,2,3
10,1,4,1,3,5
10,1,4,1,4,3
10,1,4,2,1,1
10,1,4,2,2,1
10,1,4,2,3,3
10,1,4,2,4,4
11,1,1,1,1,4
11,1,1,1,2,5
11,1,1,1,3,6
11,1,1,1,4,7
11,1,1,2,1,4
11,1,1,2,2,5
11,1,1,2,3,5
11,1,1,2,4,5
11,1,2,1,1,3
11,1,2,1,2,3
11,1,2,1,3,3
11,1,2,1,4,4
11,1,2,2,1,2
11,1,2,2,2,3
11,1,2,2,3,4
11,1,2,2,4,5
11,1,3,1,1,3
11,1,3,1,2,3
11,1,3,1,3,3
11,1,3,1,4,4
11,1,3,2,1,2
11,1,3,2,2,3
11,1,3,2,3,3
11,1,3,2,4,2
11,1,4,1,1,2
11,1,4,1,2,2
11,1,4,1,3,3
11,1,4,1,4,3
11,1,4,2,1,1
11,1,4,2,2,2
11,1,4,2,3,2
11,1,4,2,4,3
12,1,1,1,1,2
12,1,1,1,2,3
12,1,1,1,3,4
12,1,1,1,4,4
12,1,1,2,1,2
12,1,1,2,2,3
12,1,1,2,3,3
12,1,1,2,4,3
12,1,2,1,1,4
12,1,2,1,2,4
12,1,2,1,3,5
12,1,2,1,4,4
12,1,2,2,1,2
12,1,2,2,2,3
12,1,2,2,3,3
12,1,2,2,4,3
12,1,3,1,1,6
12,1,3,1,2,5
12,1,3,1,3,6
12,1,3,1,4,7
12,1,3,2,1,4
12,1,3,2,2,4
12,1,3,2,3,5
12,1,3,2,4,6
12,1,4,1,1,2
12,1,4,1,2,4
12,1,4,1,3,4
12,1,4,1,4,5
12,1,4,2,1,2
12,1,4,2,2,2
12,1,4,2,3,3
12,1,4,2,4,4
13,1,1,1,1,3
13,1,1,1,2,4
13,1,1,1,3,5
13,1,1,1,4,5
13,1,1,2,1,2
13,1,1,2,2,3
13,1,1,2,3,4
13,1,1,2,4,5
13,1,2,1,1,2
13,1,2,1,2,4
13,1,2,1,3,4
13,1,2,1,4,3
13,1,2,2,1,1
13,1,2,2,2,1
13,1,2,2,3,3
13,1,2,2,4,3
13,1,3,1,1,5
13,1,3,1,2,4
13,1,3,1,3,7
13,1,3,1,4,6
13,1,3,2,1,3
13,1,3,2,2,3
13,1,3,2,3,4
13,1,3,2,4,5
13,1,4,1,1,1
13,1,4,1,2,3
13,1,4,1,3,5
13,1,4,1,4,4
13,1,4,2,1,1
13,1,4,2,2,2
13,1,4,2,3,2
13,1,4,2,4,4
14,1,1,1,1,2
14,1,1,1,2,3
14,1,1,1,3,4
14,1,1,1,4,3
14,1,1,2,1,1
14,1,1,2,2,1
14,1,1,2,3,2
14,1,1,2,4,3
14,1,2,1,1,2
14,1,2,1,2,3
14,1,2,1,3,5
14,1,2,1,4,4
14,1,2,2,1,1
14,1,2,2,2,2
14,1,2,2,3,3
14,1,2,2,4,3
14,1,3,1,1,3
14,1,3,1,2,4
14,1,3,1,3,5
14,1,3,1,4,4
14,1,3,2,1,2
14,1,3,2,2,2
14,1,3,2,3,3
14,1,3,2,4,4
14,1,4,1,1,2
14,1,4,1,2,3
14,1,4,1,3,3
14,1,4,1,4,4
14,1,4,2,1,1
14,1,4,2,2,1
14,1,4,2,3,2
14,1,4,2,4,2
15,1,1,1,1,4
15,1,1,1,2,5
15,1,1,1,3,6
15,1,1,1,4,5
15,1,1,2,1,3
15,1,1,2,2,4
15,1,1,2,3,4
15,1,1,2,4,5
15,1,2,1,1,2
15,1,2,1,2,4
15,1,2,1,3,3
15,1,2,1,4,4
15,1,2,2,1,1
15,1,2,2,2,1
15,1,2,2,3,2
15,1,2,2,4,2
15,1,3,1,1,2
15,1,3,1,2,3
15,1,3,1,3,4
15,1,3,1,4,3
15,1,3,2,1,1
15,1,3,2,2,1
15,1,3,2,3,1
15,1,3,2,4,2
15,1,4,1,1,4
15,1,4,1,2,4
15,1,4,1,3,5
15,1,4,1,4,5
15,1,4,2,1,3
15,1,4,2,2,3
15,1,4,2,3,4
15,1,4,2,4,5
16,1,1,1,1,4
16,1,1,1,2,5
16,1,1,1,3,5
16,1,1,1,4,4
16,1,1,2,1,3
16,1,1,2,2,3
16,1,1,2,3,4
16,1,1,2,4,5
16,1,2,1,1,3
16,1,2,1,2,5
16,1,2,1,3,5
16,1,2,1,4,6
16,1,2,2,1,2
16,1,2,2,2,2
16,1,2,2,3,3
16,1,2,2,4,4
16,1,3,1,1,3
16,1,3,1,2,4
16,1,3,1,3,5
16,1,3,1,4,5
16,1,3,2,1,3
16,1,3,2,2,3
16,1,3,2,3,4
16,1,3,2,4,5
16,1,4,1,1,3
16,1,4,1,2,4
16,1,4,1,3,3
16,1,4,1,4,5
16,1,4,2,1,2
16,1,4,2,2,2
16,1,4,2,3,3
16,1,4,2,4,4
17,1,1,1,1,3
17,1,1,1,2,5
17,1,1,1,3,4
17,1,1,1,4,4
17,1,1,2,1,2
17,1,1,2,2,2
17,1,1,2,3,4
17,1,1,2,4,6
17,1,2,1,1,4
17,1,2,1,2,3
17,1,2,1,3,5
17,1,2,1,4,5
17,1,2,2,1,1
17,1,2,2,2,2
17,1,2,2,3,2
17,1,2,2,4,4
17,1,3,1,1,2
17,1,3,1,2,3
17,1,3,1,3,4
17,1,3,1,4,3
17,1,3,2,1,1
17,1,3,2,2,1
17,1,3,2,3,3
17,1,3,2,4,4
17,1,4,1,1,1
17,1,4,1,2,3
17,1,4,1,3,4
17,1,4,1,4,4
17,1,4,2,1,1
17,1,4,2,2,1
17,1,4,2,3,2
17,1,4,2,4,4
18,1,1,1,1,4
18,1,1,1,2,6
18,1,1,1,3,7
18,1,1,1,4,5
18,1,1,2,1,3
18,1,1,2,2,3
18,1,1,2,3,5
18,1,1,2,4,5
18,1,2,1,1,3
18,1,2,1,2,6
18,1,2,1,3,6
18,1,2,1,4,5
18,1,2,2,1,2
18,1,2,2,2,2
18,1,2,2,3,3
18,1,2,2,4,4
18,1,3,1,1,3
18,1,3,1,2,5
18,1,3,1,3,6
18,1,3,1,4,5
18,1,3,2,1,3
18,1,3,2,2,3
18,1,3,2,3,4
18,1,3,2,4,4
18,1,4,1,1,2
18,1,4,1,2,4
18,1,4,1,3,6
18,1,4,1,4,5
18,1,4,2,1,2
18,1,4,2,2,2
18,1,4,2,3,3
18,1,4,2,4,4
19,1,1,1,1,3
19,1,1,1,2,4
19,1,1,1,3,5
19,1,1,1,4,5
19,1,1,2,1,2
19,1,1,2,2,3
19,1,1,2,3,3
19,1,1,2,4,4
19,1,2,1,1,2
19,1,2,1,2,4
19,1,2,1,3,4
19,1,2,1,4,4
19,1,2,2,1,1
19,1,2,2,2,1
19,1,2,2,3,3
19,1,2,2,4,5
19,1,3,1,1,3
19,1,3,1,2,4
19,1,3,1,3,6
19,1,3,1,4,5
19,1,3,2,1,2
19,1,3,2,2,4
19,1,3,2,3,4
19,1,3,2,4,4
19,1,4,1,1,2
19,1,4,1,2,3
19,1,4,1,3,4
19,1,4,1,4,5
19,1,4,2,1,1
19,1,4,2,2,2
19,1,4,2,3,3
19,1,4,2,4,4
20,1,1,1,1,4
20,1,1,1,2,4
20,1,1,1,3,4
20,1,1,1,4,4
20,1,1,2,1,1
20,1,1,2,2,2
20,1,1,2,3,4
20,1,1,2,4,5
20,1,2,1,1,4
20,1,2,1,2,3
20,1,2,1,3,4
20,1,2,1,4,4
20,1,2,2,1,1
20,1,2,2,2,3
20,1,2,2,3,2
20,1,2,2,4,4
20,1,3,1,1,3
20,1,3,1,2,4
20,1,3,1,3,6
20,1,3,1,4,5
20,1,3,2,1,2
20,1,3,2,2,2
20,1,3,2,3,4
20,1,3,2,4,6
20,1,4,1,1,2
20,1,4,1,2,5
20,1,4,1,3,4
20,1,4,1,4,5
20,1,4,2,1,1
20,1,4,2,2,3
20,1,4,2,3,3
20,1,4,2,4,3
21,1,1,1,1,4
21,1,1,1,2,4
21,1,1,1,3,5
21,1,1,1,4,4
21,1,1,2,1,2
21,1,1,2,2,3
21,1,1,2,3,4
21,1,1,2,4,5
21,1,2,1,1,2
21,1,2,1,2,5
21,1,2,1,3,4
21,1,2,1,4,4
21,1,2,2,1,2
21,1,2,2,2,2
21,1,2,2,3,4
21,1,2,2,4,5
21,1,3,1,1,3
21,1,3,1,2,3
21,1,3,1,3,5
21,1,3,1,4,3
21,1,3,2,1,1
21,1,3,2,2,2
21,1,3,2,3,3
21,1,3,2,4,4
21,1,4,1,1,3
21,1,4,1,2,4
21,1,4,1,3,4
21,1,4,1,4,5
21,1,4,2,1,2
21,1,4,2,2,3
21,1,4,2,3,3
21,1,4,2,4,4
22,1,1,1,1,3
22,1,1,1,2,4
22,1,1,1,3,4
22,1,1,1,4,5
22,1,1,2,1,1
22,1,1,2,2,2
22,1,1,2,3,3
22,1,1,2,4,4
22,1,2,1,1,2
22,1,2,1,2,4
22,1,2,1,3,3
22,1,2,1,4,5
22,1,2,2,1,1
22,1,2,2,2,2
22,1,2,2,3,3
22,1,2,2,4,3
22,1,3,1,1,3
22,1,3,1,2,4
22,1,3,1,3,5
22,1,3,1,4,5
22,1,3,2,1,2
22,1,3,2,2,3
22,1,3,2,3,4
22,1,3,2,4,4
22,1,4,1,1,3
22,1,4,1,2,3
22,1,4,1,3,4
22,1,4,1,4,3
22,1,4,2,1,1
22,1,4,2,2,2
22,1,4,2,3,3
22,1,4,2,4,4
23,1,1,1,1,2
23,1,1,1,2,6
23,1,1,1,3,3
23,1,1,1,4,5
23,1,1,2,1,2
23,1,1,2,2,3
23,1,1,2,3,4
23,1,1,2,4,4
23,1,2,1,1,2
23,1,2,1,2,2
23,1,2,1,3,4
23,1,2,1,4,5
23,1,2,2,1,1
23,1,2,2,2,1
23,1,2,2,3,4
23,1,2,2,4,4
23,1,3,1,1,5
23,1,3,1,2,4
23,1,3,1,3,4
23,1,3,1,4,7
23,1,3,2,1,3
23,1,3,2,2,5
23,1,3,2,3,6
23,1,3,2,4,5
23,1,4,1,1,2
23,1,4,1,2,4
23,1,4,1,3,3
23,1,4,1,4,3
23,1,4,2,1,1
23,1,4,2,2,2
23,1,4,2,3,3
23,1,4,2,4,5
24,1,1,1,1,4
24,1,1,1,2,4
24,1,1,1,3,5
24,1,1,1,4,4
24,1,1,2,1,3
24,1,1,2,2,4
24,1,1,2,3,4
24,1,1,2,4,4
24,1,2,1,1,2
24,1,2,1,2,4
24,1,2,1,3,3
24,1,2,1,4,5
24,1,2,2,1,2
24,1,2,2,2,3
24,1,2,2,3,3
24,1,2,2,4,4
24,1,3,1,1,3
24,1,3,1,2,5
24,1,3,1,3,6
24,1,3,1,4,6
24,1,3,2,1,3
24,1,3,2,2,3
24,1,3,2,3,4
24,1,3,2,4,5
24,1,4,1,1,2
24,1,4,1,2,3
24,1,4,1,3,3
24,1,4,1,4,4
24,1,4,2,1,2
24,1,4,2,2,3
24,1,4,2,3,3
24,1,4,2,4,3
25,1,1,1,1,3
25,1,1,1,2,5
25,1,1,1,3,6
25,1,1,1,4,6
25,1,1,2,1,3
25,1,1,2,2,3
25,1,1,2,3,4
25,1,1,2,4,5
25,1,2,1,1,3
25,1,2,1,2,6
25,1,2,1,3,6
25,1,2,1,4,4
25,1,2,2,1,2
25,1,2,2,2,2
25,1,2,2,3,3
25,1,2,2,4,6
25,1,3,1,1,3
25,1,3,1,2,4
25,1,3,1,3,4
25,1,3,1,4,4
25,1,3,2,1,2
25,1,3,2,2,2
25,1,3,2,3,3
25,1,3,2,4,6
25,1,4,1,1,2
25,1,4,1,2,3
25,1,4,1,3,4
25,1,4,1,4,4
25,1,4,2,1,1
25,1,4,2,2,1
25,1,4,2,3,3
25,1,4,2,4,5
26,2,1,1,1,5
26,2,1,1,2,5
26,2,1,1,3,6
26,2,1,1,4,5
26,2,1,2,1,3
26,2,1,2,2,3
26,2,1,2,3,4
26,2,1,2,4,6
26,2,2,1,1,2
26,2,2,1,2,4
26,2,2,1,3,5
26,2,2,1,4,5
26,2,2,2,1,1
26,2,2,2,2,2
26,2,2,2,3,2
26,2,2,2,4,4
26,2,3,1,1,3
26,2,3,1,2,3
26,2,3,1,3,5
26,2,3,1,4,5
26,2,3,2,1,2
26,2,3,2,2,2
26,2,3,2,3,3
