S,DoF,Contents,Codecs,Bitrates,Scores
51,3,4,1,4,5
51,3,4,2,1,1
51,3,4,2,2,2
51,3,4,2,3,3
51,3,4,2,4,4
52,3,1,1,1,5
52,3,1,1,2,6
52,3,1,1,3,5
52,3,1,1,4,7
52,3,1,2,1,4
52,3,1,2,2,4
52,3,1,2,3,5
52,3,1,2,4,5
52,3,2,1,1,3
52,3,2,1,2,6
52,3,2,1,3,6
52,3,2,1,4,6
52,3,2,2,1,2
52,3,2,2,2,3
52,3,2,2,3,4
52,3,2,2,4,6
52,3,3,1,1,3
52,3,3,1,2,4
52,3,3,1,3,4
52,3,3,1,4,6
52,3,3,2,1,2
52,3,3,2,2,2
52,3,3,2,3,3
52,3,3,2,4,2
52,3,4,1,1,3
52,3,4,1,2,3
52,3,4,1,3,4
52,3,4,1,4,6
52,3,4,2,1,2
52,3,4,2,2,2
52,3,4,2,3,3
52,3,4,2,4,4
53,3,1,1,1,3
53,3,1,1,2,4
53,3,1,1,3,5
53,3,1,1,4,5
53,3,1,2,1,1
53,3,1,2,2,2
53,3,1,2,3,3
53,3,1,2,4,4
53,3,2,1,1,3
53,3,2,1,2,5
53,3,2,1,3,4
53,3,2,1,4,5
53,3,2,2,1,1
53,3,2,2,2,2
53,3,2,2,3,3
53,3,2,2,4,4
53,3,3,1,1,3
53,3,3,1,2,4
53,3,3,1,3,4
53,3,3,1,4,5
53,3,3,2,1,1
53,3,3,2,2,2
53,3,3,2,3,3
53,3,3,2,4,3
53,3,4,1,1,2
53,3,4,1,2,4
53,3,4,1,3,5
53,3,4,1,4,5
53,3,4,2,1,1
53,3,4,2,2,1
53,3,4,2,3,3
53,3,4,2,4,4
54,3,1,1,1,3
54,3,1,1,2,5
54,3,1,1,3,4
54,3,1,1,4,5
54,3,1,2,1,1
54,3,1,2,2,2
54,3,1,2,3,3
54,3,1,2,4,3
54,3,2,1,1,4
54,3,2,1,2,5
54,3,2,1,3,5
54,3,2,1,4,5
54,3,2,2,1,1
54,3,2,2,2,2
54,3,2,2,3,4
54,3,2,2,4,5
54,3,3,1,1,3
54,3,3,1,2,5
54,3,3,1,3,4
54,3,3,1,4,3
54,3,3,2,1,1
54,3,3,2,2,1
54,3,3,2,3,3
54,3,3,2,4,4
54,3,4,1,1,1
54,3,4,1,2,3
54,3,4,1,3,5
54,3,4,1,4,5
54,3,4,2,1,1
54,3,4,2,2,2
54,3,4,2,3,3
54,3,4,2,4,5
55,3,1,1,1,5
55,3,1,1,2,6
55,3,1,1,3,7
55,3,1,1,4,7
55,3,1,2,1,4
55,3,1,2,2,4
55,3,1,2,3,6
55,3,1,2,4,6
55,3,2,1,1,3
55,3,2,1,2,4
55,3,2,1,3,5
55,3,2,1,4,5
55,3,2,2,1,1
55,3,2,2,2,1
55,3,2,2,3,2
55,3,2,2,4,3
55,3,3,1,1,6
55,3,3,1,2,6
55,3,3,1,3,7
55,3,3,1,4,7
55,3,3,2,1,4
55,3,3,2,2,4
55,3,3,2,3,5
55,3,3,2,4,6
55,3,4,1,1,1
55,3,4,1,2,2
55,3,4,1,3,4
55,3,4,1,4,2
55,3,4,2,1,1
55,3,4,2,2,1
55,3,4,2,3,2
55,3,4,2,4,3
56,3,1,1,1,4
56,3,1,1,2,5
56,3,1,1,3,7
56,3,1,1,4,6
56,3,1,2,1,3
56,3,1,2,2,4
56,3,1,2,3,6
56,3,1,2,4,5
56,3,2,1,1,3
56,3,2,1,2,5
56,3,2,1,3,6
56,3,2,1,4,5
56,3,2,2,1,2
56,3,2,2,2,3
56,3,2,2,3,3
56,3,2,2,4,6
56,3,3,1,1,5
56,3,3,1,2,5
56,3,3,1,3,6
56,3,3,1,4,6
56,3,3,2,1,3
56,3,3,2,2,4
56,3,3,2,3,4
56,3,3,2,4,5
56,3,4,1,1,3
56,3,4,1,2,3
56,3,4,1,3,5
56,3,4,1,4,6
56,3,4,2,1,2
56,3,4,2,2,4
56,3,4,2,3,2
56,3,4,2,4,5
57,3,1,1,1,4
57,3,1,1,2,5
57,3,1,1,3,6
57,3,1,1,4,6
57,3,1,2,1,3
57,3,1,2,2,3
57,3,1,2,3,4
57,3,1,2,4,5
57,3,2,1,1,3
57,3,2,1,2,5
57,3,2,1,3,6
57,3,2,1,4,5
57,3,2,2,1,2
57,3,2,2,2,2
57,3,2,2,3,3
57,3,2,2,4,6
57,3,3,1,1,2
57,3,3,1,2,3
57,3,3,1,3,5
57,3,3,1,4,4
57,3,3,2,1,1
57,3,3,2,2,1
57,3,3,2,3,2
57,3,3,2,4,4
57,3,4,1,1,2
57,3,4,1,2,3
57,3,4,1,3,4
57,3,4,1,4,5
57,3,4,2,1,1
57,3,4,2,2,2
57,3,4,2,3,2
57,3,4,2,4,3
58,3,1,1,1,3
58,3,1,1,2,5
58,3,1,1,3,5
58,3,1,1,4,4
58,3,1,2,1,2
58,3,1,2,2,3
58,3,1,2,3,4
58,3,1,2,4,4
58,3,2,1,1,4
58,3,2,1,2,6
58,3,2,1,3,6
58,3,2,1,4,5
58,3,2,2,1,2
58,3,2,2,2,3
58,3,2,2,3,4
58,3,2,2,4,4
58,3,3,1,1,3
58,3,3,1,2,4
58,3,3,1,3,5
58,3,3,1,4,5
58,3,3,2,1,2
58,3,3,2,2,3
58,3,3,2,3,4
58,3,3,2,4,5
58,3,4,1,1,2
58,3,4,1,2,3
58,3,4,1,3,4
58,3,4,1,4,4
58,3,4,2,1,1
58,3,4,2,2,2
58,3,4,2,3,3
58,3,4,2,4,2
59,3,1,1,1,3
59,3,1,1,2,3
59,3,1,1,3,4
59,3,1,1,4,4
59,3,1,2,1,1
59,3,1,2,2,2
59,3,1,2,3,3
59,3,1,2,4,4
59,3,2,1,1,3
59,3,2,1,2,4
59,3,2,1,3,6
59,3,2,1,4,5
59,3,2,2,1,2
59,3,2,2,2,3
59,3,2,2,3,3
59,3,2,2,4,5
59,3,3,1,1,3
59,3,3,1,2,3
59,3,3,1,3,5
59,3,3,1,4,4
59,3,3,2,1,2
59,3,3,2,2,3
59,3,3,2,3,4
59,3,3,2,4,4
59,3,4,1,1,2
59,3,4,1,2,3
59,3,4,1,3,4
59,3,4,1,4,4
59,3,4,2,1,1
59,3,4,2,2,2
59,3,4,2,3,4
59,3,4,2,4,4
60,3,1,1,1,5
60,3,1,1,2,5
60,3,1,1,3,7
60,3,1,1,4,5
60,3,1,2,1,3
60,3,1,2,2,4
60,3,1,2,3,6
60,3,1,2,4,5
60,3,2,1,1,4
60,3,2,1,2,4
60,3,2,1,3,6
60,3,2,1,4,6
60,3,2,2,1,2
60,3,2,2,2,4
60,3,2,2,3,4
60,3,2,2,4,6
60,3,3,1,1,4
60,3,3,1,2,6
60,3,3,1,3,6
60,3,3,1,4,6
60,3,3,2,1,3
60,3,3,2,2,5
60,3,3,2,3,5
60,3,3,2,4,4
60,3,4,1,1,2
60,3,4,1,2,4
60,3,4,1,3,5
60,3,4,1,4,4
60,3,4,2,1,1
60,3,4,2,2,2
60,3,4,2,3,3
60,3,4,2,4,5
61,3,1,1,1,2
61,3,1,1,2,4
61,3,1,1,3,2
61,3,1,1,4,4
61,3,1,2,1,1
61,3,1,2,2,1
61,3,1,2,3,3
61,3,1,2,4,3
61,3,2,1,1,5
61,3,2,1,2,3
61,3,2,1,3,5
61,3,2,1,4,6
61,3,2,2,1,2
61,3,2,2,2,3
61,3,2,2,3,4
61,3,2,2,4,6
61,3,3,1,1,3
61,3,3,1,2,5
61,3,3,1,3,5
61,3,3,1,4,7
61,3,3,2,1,3
61,3,3,2,2,4
61,3,3,2,3,5
61,3,3,2,4,4
61,3,4,1,1,3
61,3,4,1,2,3
61,3,4,1,3,4
61,3,4,1,4,5
61,3,4,2,1,1
61,3,4,2,2,1
61,3,4,2,3,4
61,3,4,2,4,5
62,3,1,1,1,5
62,3,1,1,2,5
62,3,1,1,3,5
62,3,1,1,4,5
62,3,1,2,1,3
62,3,1,2,2,4
62,3,1,2,3,4
62,3,1,2,4,5
62,3,2,1,1,4
62,3,2,1,2,4
62,3,2,1,3,5
62,3,2,1,4,4
62,3,2,2,1,2
62,3,2,2,2,3
62,3,2,2,3,4
62,3,2,2,4,4
62,3,3,1,1,6
62,3,3,1,2,6
62,3,3,1,3,7
62,3,3,1,4,7
62,3,3,2,1,4
62,3,3,2,2,5
62,3,3,2,3,6
62,3,3,2,4,6
62,3,4,1,1,3
62,3,4,1,2,4
62,3,4,1,3,6
62,3,4,1,4,6
62,3,4,2,1,2
62,3,4,2,2,3
62,3,4,2,3,5
62,3,4,2,4,5
63,3,1,1,1,3
63,3,1,1,2,4
63,3,1,1,3,5
63,3,1,1,4,4
63,3,1,2,1,2
63,3,1,2,2,3
63,3,1,2,3,4
63,3,1,2,4,4
63,3,2,1,1,4
63,3,2,1,2,4
63,3,2,1,3,5
63,3,2,1,4,5
63,3,2,2,1,2
63,3,2,2,2,2
63,3,2,2,3,3
63,3,2,2,4,4
63,3,3,1,1,3
63,3,3,1,2,4
63,3,3,1,3,5
63,3,3,1,4,5
63,3,3,2,1,2
63,3,3,2,2,3
63,3,3,2,3,4
63,3,3,2,4,4
63,3,4,1,1,2
63,3,4,1,2,5
63,3,4,1,3,5
63,3,4,1,4,6
63,3,4,2,1,2
63,3,4,2,2,3
63,3,4,2,3,4
63,3,4,2,4,4
64,3,1,1,1,2
64,3,1,1,2,4
64,3,1,1,3,5
64,3,1,1,4,5
64,3,1,2,1,1
64,3,1,2,2,2
64,3,1,2,3,5
64,3,1,2,4,3
64,3,2,1,1,3
64,3,2,1,2,4
64,3,2,1,3,3
64,3,2,1,4,5
64,3,2,2,1,1
64,3,2,2,2,2
64,3,2,2,3,3
64,3,2,2,4,4
64,3,3,1,1,2
64,3,3,1,2,3
64,3,3,1,3,3
64,3,3,1,4,4
64,3,3,2,1,1
64,3,3,2,2,2
64,3,3,2,3,3
64,3,3,2,4,4
64,3,4,1,1,1
64,3,4,1,2,4
64,3,4,1,3,5
64,3,4,1,4,4
64,3,4,2,1,1
64,3,4,2,2,2
64,3,4,2,3,4
64,3,4,2,4,3
65,3,1,1,1,3
65,3,1,1,2,5
65,3,1,1,3,6
65,3,1,1,4,5
65,3,1,2,1,2
65,3,1,2,2,3
65,3,1,2,3,4
65,3,1,2,4,5
65,3,2,1,1,4
65,3,2,1,2,4
65,3,2,1,3,6
65,3,2,1,4,5
65,3,2,2,1,2
65,3,2,2,2,3
65,3,2,2,3,4
65,3,2,2,4,5
65,3,3,1,1,5
65,3,3,1,2,6
65,3,3,1,3,5
65,3,3,1,4,5
65,3,3,2,1,3
65,3,3,2,2,4
65,3,3,2,3,5
65,3,3,2,4,5
65,3,4,1,1,3
65,3,4,1,2,5
65,3,4,1,3,5
65,3,4,1,4,5
65,3,4,2,1,2
65,3,4,2,2,3
65,3,4,2,3,4
65,3,4,2,4,5
66,3,1,1,1,4
66,3,1,1,2,5
66,3,1,1,3,4
66,3,1,1,4,4
66,3,1,2,1,3
66,3,1,2,2,4
66,3,1,2,3,4
66,3,1,2,4,4
66,3,2,1,1,2
66,3,2,1,2,5
66,3,2,1,3,5
66,3,2,1,4,3
66,3,2,2,1,1
66,3,2,2,2,2
66,3,2,2,3,3
66,3,2,2,4,3
66,3,3,1,1,4
66,3,3,1,2,4
66,3,3,1,3,5
66,3,3,1,4,4
66,3,3,2,1,3
66,3,3,2,2,4
66,3,3,2,3,4
66,3,3,2,4,4
66,3,4,1,1,2
66,3,4,1,2,3
66,3,4,1,3,4
66,3,4,1,4,5
66,3,4,2,1,2
66,3,4,2,2,2
66,3,4,2,3,4
66,3,4,2,4,4
67,3,1,1,1,3
67,3,1,1,2,6
67,3,1,1,3,6
67,3,1,1,4,4
67,3,1,2,1,2
67,3,1,2,2,3
67,3,1,2,3,4
67,3,1,2,4,4
67,3,2,1,1,5
67,3,2,1,2,6
67,3,2,1,3,5
67,3,2,1,4,5
67,3,2,2,1,3
67,3,2,2,2,3
67,3,2,2,3,6
67,3,2,2,4,6
67,3,3,1,1,1
67,3,3,1,2,4
67,3,3,1,3,4
67,3,3,1,4,3
67,3,3,2,1,1
67,3,3,2,2,2
67,3,3,2,3,2
67,3,3,2,4,2
67,3,4,1,1,1
67,3,4,1,2,3
67,3,4,1,3,3
67,3,4,1,4,5
67,3,4,2,1,1
67,3,4,2,2,3
67,3,4,2,3,3
67,3,4,2,4,4
68,3,1,1,1,4
68,3,1,1,2,6
68,3,1,1,3,5
68,3,1,1,4,5
68,3,1,2,1,3
68,3,1,2,2,5
68,3,1,2,3,5
68,3,1,2,4,5
68,3,2,1,1,3
68,3,2,1,2,4
68,3,2,1,3,5
68,3,2,1,4,4
68,3,2,2,1,1
68,3,2,2,2,1
68,3,2,2,3,3
68,3,2,2,4,4
68,3,3,1,1,3
68,3,3,1,2,4
68,3,3,1,3,4
68,3,3,1,4,5
68,3,3,2,1,2
68,3,3,2,2,3
68,3,3,2,3,3
68,3,3,2,4,5
68,3,4,1,1,3
68,3,4,1,2,5
68,3,4,1,3,4
68,3,4,1,4,5
68,3,4,2,1,1
68,3,4,2,2,2
68,3,4,2,3,4
68,3,4,2,4,4
69,3,1,1,1,4
69,3,1,1,2,3
69,3,1,1,3,5
69,3,1,1,4,4
69,3,1,2,1,2
69,3,1,2,2,3
69,3,1,2,3,4
69,3,1,2,4,3
69,3,2,1,1,3
69,3,2,1,2,3
69,3,2,1,3,4
69,3,2,1,4,5
69,3,2,2,1,1
69,3,2,2,2,2
69,3,2,2,3,3
69,3,2,2,4,4
69,3,3,1,1,4
69,3,3,1,2,4
69,3,3,1,3,4
69,3,3,1,4,4
69,3,3,2,1,2
69,3,3,2,2,3
69,3,3,2,3,4
69,3,3,2,4,5
69,3,4,1,1,2
69,3,4,1,2,4
69,3,4,1,3,4
69,3,4,1,4,5
69,3,4,2,1,1
69,3,4,2,2,1
69,3,4,2,3,3
69,3,4,2,4,3
70,3,1,1,1,5
70,3,1,1,2,6
70,3,1,1,3,5
70,3,1,1,4,8
70,3,1,2,1,4
70,3,1,2,2,4
70,3,1,2,3,6
70,3,1,2,4,8
70,3,2,1,1,2
70,3,2,1,2,5
70,3,2,1,3,4
70,3,2,1,4,4
70,3,2,2,1,1
70,3,2,2,2,3
70,3,2,2,3,4
70,3,2,2,4,3
70,3,3,1,1,5
70,3,3,1,2,6
70,3,3,1,3,5
70,3,3,1,4,7
70,3,3,2,1,4
70,3,3,2,2,5
70,3,3,2,3,6
70,3,3,2,4,4
70,3,4,1,1,2
70,3,4,1,2,6
70,3,4,1,3,4
70,3,4,1,4,5
70,3,4,2,1,2
70,3,4,2,2,3
70,3,4,2,3,5
70,3,4,2,4,6
71,3,1,1,1,5
71,3,1,1,2,6
71,3,1,1,3,6
71,3,1,1,4,5
71,3,1,2,1,2
71,3,1,2,2,4
71,3,1,2,3,4
71,3,1,2,4,4
71,3,2,1,1,3
71,3,2,1,2,4
71,3,2,1,3,3
71,3,2,1,4,4
71,3,2,2,1,2
71,3,2,2,2,3
71,3,2,2,3,3
71,3,2,2,4,5
71,3,3,1,1,4
71,3,3,1,2,6
71,3,3,1,3,5
71,3,3,1,4,6
71,3,3,2,1,2
71,3,3,2,2,3
71,3,3,2,3,4
71,3,3,2,4,5
71,3,4,1,1,5
71,3,4,1,2,6
71,3,4,1,3,5
71,3,4,1,4,6
71,3,4,2,1,3
71,3,4,2,2,5
71,3,4,2,3,5
71,3,4,2,4,7
72,3,1,1,1,4
72,3,1,1,2,4
72,3,1,1,3,5
72,3,1,1,4,4
72,3,1,2,1,3
72,3,1,2,2,3
72,3,1,2,3,4
72,3,1,2,4,5
72,3,2,1,1,4
72,3,2,1,2,4
72,3,2,1,3,5
72,3,2,1,4,6
72,3,2,2,1,2
72,3,2,2,2,2
72,3,2,2,3,3
72,3,2,2,4,4
72,3,3,1,1,4
72,3,3,1,2,3
72,3,3,1,3,3
72,3,3,1,4,4
72,3,3,2,1,2
72,3,3,2,2,3
72,3,3,2,3,3
72,3,3,2,4,3
72,3,4,1,1,4
72,3,4,1,2,4
72,3,4,1,3,4
72,3,4,1,4,6
72,3,4,2,1,3
72,3,4,2,2,4
72,3,4,2,3,4
72,3,4,2,4,5
73,3,1,1,1,4
73,3,1,1,2,5
73,3,1,1,3,6
73,3,1,1,4,6
73,3,1,2,1,3
73,3,1,2,2,3
73,3,1,2,3,5
73,3,1,2,4,4
73,3,2,1,1,3
73,3,2,1,2,5
73,3,2,1,3,4
73,3,2,1,4,6
73,3,2,2,1,2
73,3,2,2,2,2
73,3,2,2,3,3
73,3,2,2,4,4
73,3,3,1,1,2
73,3,3,1,2,3
73,3,3,1,3,3
73,3,3,1,4,3
73,3,3,2,1,1
73,3,3,2,2,2
73,3,3,2,3,2
73,3,3,2,4,3
73,3,4,1,1,2
73,3,4,1,2,4
73,3,4,1,3,6
73,3,4,1,4,4
73,3,4,2,1,2
73,3,4,2,2,2
73,3,4,2,3,2
73,3,4,2,4,5
74,3,1,1,1,5
74,3,1,1,2,4
74,3,1,1,3,5
74,3,1,1,4,5
74,3,1,2,1,3
74,3,1,2,2,3
74,3,1,2,3,4
74,3,1,2,4,3
74,3,2,1,1,1
74,3,2,1,2,3
74,3,2,1,3,3
74,3,2,1,4,4
74,3,2,2,1,1
74,3,2,2,2,2
74,3,2,2,3,1
74,3,2,2,4,3
74,3,3,1,1,4
74,3,3,1,2,4
74,3,3,1,3,3
74,3,3,1,4,7
74,3,3,2,1,3
74,3,3,2,2,4
74,3,3,2,3,5
74,3,3,2,4,5
74,3,4,1,1,4
74,3,4,1,2,5
74,3,4,1,3,4
74,3,4,1,4,6
74,3,4,2,1,2
74,3,4,2,2,2
74,3,4,2,3,4
74,3,4,2,4,5
75,3,1,1,1,4
75,3,1,1,2,5
75,3,1,1,3,5
75,3,1,1,4,6
75,3,1,2,1,3
75,3,1,2,2,3
75,3,1,2,3,4
75,3,1,2,4,5
75,3,2,1,1,2
75,3,2,1,2,4
75,3,2,1,3,4
75,3,2,1,4,4
75,3,2,2,1,1
75,3,2,2,2,1
75,3,2,2,3,3
75,3,2,2,4,4
75,3,3,1,1,3
75,3,3,1,2,5
75,3,3,1,3,6
75,3,3,1,4,5
75,3,3,2,1,3
75,3,3,2,2,4
75,3,3,2,3,4
75,3,3,2,4,5
75,3,4,1,1,1
75,3,4,1,2,3
75,3,4,1,3,4
75,3,4,1,4,5
75,3,4,2,1,1
75,3,4,2,2,1
75,3,4,2,3,2
75,3,4,2,4,4
76,3,1,1,1,4
76,3,1,1,2,5
76,3,1,1,3,6
76,3,1,1,4,5
76,3,1,2,1,3
76,3,1,2,2,4
76,3,1,2,3,5
76,3,1,2,4,5
76,3,2,1,1,3
76,3,2,1,2,4
76,3,2,1,3,5
76,3,2,1,4,5
76,3,2,2,1,2
76,3,2,2,2,3
76,3,2,2,3,3
76,3,2,2,4,5
76,3,3,1,1,2
76,3,3,1,2,3
76,3,3,1,3,3
76,3,3,1,4,4
76,3,3,2,1,1
76,3,3,2,2,1
76,3,3,2,3,2
76,3,3,2,4,4
76,3,4,1,1,2
76,3,4,1,2,3
76,3,4,1,3,4
76,3,4,1,4,4
76,3,4,2,1,1
76,3,4,2,2,1
76,3,4,2,3,2
76,3,4,2,4,5
